event_code,event_name,event_title
DIV,Cash Dividend,A32 - Pay cash dividend 2023 - Interim 1 at VND 1000/share
DIV,Cash Dividend,A32 - Pay cash dividend 2022 - Interim 2 at VND 2000/share
AGME,Annual General Meeting,A32 - Holds 2023 AGM
DIV,Cash Dividend,A32 - Pay cash dividend 2022 - Interim 1 at VND 1000/share
DIV,Cash Dividend,A32 - Pay cash dividend 2021 - Interim 2 at VND 2700/share
DIV,Cash Dividend,"A32 - Pays Interim 1, 2021 cash dividend at VND1000/share"
DIV,Cash Dividend,"A32 - Pays Interim 2, 2020 cash dividend at VND700/share"
DIV,Cash Dividend,"A32 - Pays Interim 1, 2020 cash dividend at VND1500/share"
DIV,Cash Dividend,"A32 - Pays Interim 2, 2019 cash dividend at VND700/share"
DIV,Cash Dividend,"A32 - Pays Interim 1, 2019 cash dividend at VND1500/share"
DIV,Cash Dividend,"A32 - Pays Interim 2, 2018 cash dividend at VND700/share"
AGME,Annual General Meeting,A32 - Holds 2019 AGM
DIV,Cash Dividend,"A32 - Pays Interim 1, 2018 cash dividend at VND1500/share"
NLIS,New listing,A32 - Officially registers shares on UPCOM
AGME,Annual General Meeting,AAA - Holds 2023 AGM
AIS,Additional Listing,"AAA- Lists additional 55,840,000 shares"
AGME,Annual General Meeting,AAA - Holds 2022 AGM
EGME,Extraordinary General Meeting,AAA - Holds extra-ordinary shareholders' meeting in 2022
AIS,Additional Listing,"AAA - Lists additional 29,674,522 shares"
DIV,Cash Dividend,"AAA - Pays Year, 2020 cash dividend at VND500/share"
ISS,Share Issue,AAA - Issues bonus shares at 10:1
AIS,Additional Listing,AAA - Lists additional 358 shares
AGME,Annual General Meeting,AAA - Holds 2021 AGM
EGME,Extraordinary General Meeting,AAA - Holds extra-ordinary shareholders' meeting
AIS,Additional Listing,"AAA - Lists additional 10,559,998 shares"
ISS,Share Issue,AAA- Issues dividend shares at 5%
DIV,Cash Dividend,"AAA - Pays Interim 2, 2019 cash dividend at VND500/share"
AIS,Additional Listing,"AAA- Lists additional 40,000,000 shares"
AGME,Annual General Meeting,AAA - Holds 2020 AGM
DIV,Cash Dividend,"AAA - Pays Interim 1, 2019 cash dividend at VND500/share"
AMEN,Name Change,AAA - Changed its name as An Phat Bioplastic Joint Stock Company
AGME,Annual General Meeting,AAA - Holds 2019 AGM
AIS,Additional Listing,AAA -  Lists 4.000.000 additional shares
AIS,Additional Listing,AAA - Lists additional 83.599.988 shares
ISS,Share Issue,AAA-Issues additonal shares for existing shareholders at 1:1
BOME,BOD Meeting,"AAA-BoD's resolution dated March 21, 2018"
BCHA,Key Personnel Change,"AAA-Key personnel change from March 01, 2018"
BOME,BOD Meeting,"AAA-BoD's resolution dated February 09, 2018"
AGMR,AGM Resolution,AAA-2018 AGM's resolution
BOME,BOD Meeting,"AAA-BoD's resolution dated Februarry 08, 2018"
BOME,BOD Meeting,"AAA-BoD's resolution dated January 25, 2018"
AIS,Additional Listing,"AAA-Lists 24,350,000 addtional shares"
AGME,Annual General Meeting,AAA-Holds 2018 AGM
DIV,Cash Dividend,"AAA-Pays Interim 2, 2017 cash dividend at VND1500/share"
BOME,BOD Meeting,"AAA-BoD's resolution dated December 19, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated November 13, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated November 06, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated October 23, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated October 04, 2017"
DIV,Cash Dividend,"AAA - Pays Interim 1, 2017 cash dividend at VND500/share"
AIS,Additional Listing,"AAA - Lists 585,000 additional shares"
AIS,Additional Listing,"AAA-Lists 1,700,000 additional shares"
BOME,BOD Meeting,"AAA-BoD's resolution dated July 12, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated June 29, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated June 09, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated June 08, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated May 29, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated May 12, 2017"
